target_index,target_n,target_k,target_d,A,B,f_B,n_eff,k_eff,error
0,2.28,0.0,3.9,ZnS,-,0.0,2.2661001590762604,0.0,0.013899840923739415
1,2.8,0.45,0.08,C,ZnS,0.791,2.76629993648523,0.47212359573862994,0.04031312155249024
1,2.8,0.45,0.08,C,ZnSe,0.8170000000000001,2.839390397010963,0.41974217337384234,0.049670307516864826
1,2.8,0.45,0.08,C,CdSe,0.8230000000000001,2.854794211110316,0.4073776875074981,0.06941950081504747
1,2.8,0.45,0.08,C,Nb2O5,0.778,2.729480513894179,0.49877704902433545,0.08574496155548438
1,2.8,0.45,0.08,C,LiNbO3,0.774,2.716622339312826,0.5064232980663868,0.10067483730482918
1,2.8,0.45,0.08,C,TiO2,0.773,2.715138951722986,0.5088271286965947,0.10325709944289266
1,2.8,0.45,0.08,C,SiC,0.836,2.888263094324469,0.38059416987850897,0.11228331610076095
1,2.8,0.45,0.08,C,ZrO2,0.761,2.6776317766431412,0.5329222123090941,0.1478177099732928
2,2.48,1.01,0.04,C,SiO2,0.614,2.479014678631103,1.009369865200128,0.001169584569842877
2,2.48,1.01,0.04,BaF2,C,0.383,2.5050058080711963,1.0004861690428482,0.026754502738319943
2,2.48,1.01,0.04,C,MgF2,0.609,2.447441198439973,1.0274124867337189,0.03692248980333205
2,2.48,1.01,0.04,Al2O3,C,0.37,2.581183899537148,0.9598154905558993,0.11294541386744623
2,2.48,1.01,0.04,C,MgO,0.64,2.6351851843325917,0.9302058341346072,0.17449799523918405
2,2.48,1.01,0.04,C,ZnO,0.647,2.637791491561213,0.9274643732378881,0.17807381754240859
2,2.48,1.01,0.04,C,SiO,0.654,2.707328832393889,0.8927247045522337,0.2557965851217129
2,2.48,1.01,0.04,C,Y2O3,0.659,2.7381421815565345,0.881485700168801,0.2883631584649297
3,1.77,0.7,0.08,C,MgF2,0.735,2.097534855814719,0.4384739062051713,0.41913599166517584
3,1.77,0.7,0.08,C,SiO2,0.747,2.1143168962905676,0.41012556009665674,0.4500903420208508
3,1.77,0.7,0.08,BaF2,C,0.244,2.1273449055079476,0.3901994193638259,0.4729395112009511
3,1.77,0.7,0.08,Al2O3,C,0.209,2.151863737957301,0.31421216969299093,0.5428187214712771
3,1.77,0.7,0.08,C,ZnO,0.837,2.1308325959035237,0.24778806610401813,0.5785289927258783
3,1.77,0.7,0.08,C,MgO,0.8200000000000001,2.159011953937908,0.2553193433129572,0.590822466345186
3,1.77,0.7,0.08,C,SiO,0.869,2.1404247866347887,0.16601370473197238,0.6498891336893562
3,1.77,0.7,0.08,Ge2Sb2Te5,ZnO,0.9510000000000001,1.7816111158306454,0.029117569101724337,0.6709829014951216
4,2.26,0.01,3.9,ZnS,-,0.0,2.2661001590762604,0.0,0.01171375007227338
